chapter,word,translation
11.2,canoe,独木舟
11.2,donation,捐赠
11.2,labels,标签
11.2,luxury,奢华
11.2,lock-up,带锁的
11.2,warehouse,仓库
11.2,ferries,轮渡
11.2,comfortable,舒适的
11.2,preservation,保留，保存
11.2,authority,权威
11.2,flamingo,火烈鸟
11.2,trails,踪迹
11.2,poster,海报
11.2,altitude,高度
11.2,vegetation,植被
11.2,calligraphy,书法
11.2,caravan,房车
11.2,layout,布局
11.2,format,格式
11.2,flooding,泛滥
11.2,rural,乡下的
11.2,hard-working,刻苦的
11.2,torch,火炬
11.2,sack,解雇，麻袋
11.2,souvenirs,纪念品
11.2,funnel,漏斗
11.2,rendezvous,约定地点
11.2,vetting,审核
11.2,acknowledgement,鸣谢
11.2,wildlife,野生动物
11.2,hostel,旅店
11.2,water-ride,激流勇进
11.2,waterproof,防水的
11.2,rollercoaster,过山车
11.2,resort,胜地
11.2,anniversary,周年
11.2,committee,委员会
11.2,off-peak,非高峰的
11.2,towel,毛巾
11.2,all-in,包括一切的
11.2,hovercraft,气垫船
11.2,roadworthy,适合上路的
11.2,overfill,填满
11.2,archaeology,考古学
11.2,classification,分类
11.2,coursework,课程
11.2,cranberry,蔓越莓
11.2,hazel,榛子
11.2,documentary,纪录片
11.2,dustbin,垃圾箱
11.2,garbage,垃圾
11.2,dirt,灰尘
11.2,fertilisers,化肥
11.2,fernery,蕨类植物
11.2,corrections,改正
11.2,theoretical,理论的
11.2,region,地区
11.2,assignment,作业
11.2,miniature,缩微景观
11.2,biscuit,饼干
11.2,meadow,草地
11.2,digestive,消化的
11.2,fertilizer,肥料
11.2,rabbit,兔子
11.2,trash,垃圾
11.2,nutrition,营养
11.2,aging,老化的
11.2,hothouse,温室
11.2,habitat,栖息地
11.2,procedure,程序
11.2,budget,预算
11.2,proposal,提议
11.2,pavement,路面，人行道
11.2,restriction,限制
11.2,cookery,烹饪
11.2,calorie,卡路里
11.2,noticeable,显著的
11.2,visibility,能见度
11.2,congestion,拥塞
11.2,fume,烟雾
11.2,modify,修改
11.2,fortune,财富
11.2,reptile,爬行动物
11.2,territory,领土
11.2,monogamous,一夫一妻制的
11.2,avoidance,回避
11.2,aspiration,渴望
11.2,aerobic,有氧的
11.2,expedition,远足
11.2,maths,数学
11.2,phonebook,电话簿
11.2,nitrogen,氮气
11.2,moderate,适度的
11.2,rack,支架
11.2,occupancy,居住，占用
11.2,eggplant,茄子
11.2,shellfish,贝类
11.2,bakery,面包店
11.2,advisor,顾问
11.2,vehicle,汽车
11.2,lorry,卡车
11.2,inconvenience,不方便
11.2,module,模块
11.2,newsagent's,报刊杂志店
11.2,harvested,收获的
11.2,opened,打开的
11.2,expanded,扩大的
11.2,promotion,促销活动
11.2,transformation,转型，转变
11.2,petitions,请愿书
11.2,occasional,偶然的
11.2,boundary,边界
11.2,visible,可见
11.2,maze,迷宫
11.2,circular,圆的
11.2,hedges,树篱
11.2,gardeners,园丁
11.2,scheme,方案
11.2,warden,看守
11.2,minority,少数
11.2,supportive,支持的
11.2,fantastic,神奇的，极好的
11.2,destinations,目的地
11.2,fascinating,迷人的
11.2,option,选项
11.2,supplement,补充
11.2,alternative,替代的
11.2,parliament,议会
11.2,promenade,沿海步道
11.2,highlight,突出
11.2,medieval,中世纪的
11.2,subcommittee,小组委员会
11.2,overview,概观
11.2,assortment,品种
11.2,ramp,坡道，匝道
11.2,constant,不变的
11.2,bend,弯曲
11.2,stream,流
11.2,irrespective,不管的
11.2,disastrous,惨重的
11.2,tropical,热带的
11.2,grateful,感激的
11.2,solar pump,太阳能泵
11.2,urban garden,城市公园
11.2,visitor centre,访客中心
11.2,special feature,特点
11.2,unaccompanied children,无人陪伴儿童
11.2,under-age children,未适龄儿童
11.2,racing car,赛车
11.2,comment card,意见卡
11.2,booking form,预订表格
11.2,cabin keys,客舱钥匙
11.2,room services,客房服务
11.2,after formality,寒暄后
11.2,music video,音乐视频
11.2,camera man,摄像师
11.2,traffic noise,交通噪音
11.2,sculpture garden,雕塑花园
11.2,oil painting,油画
11.2,quarantine service,检疫服务
11.2,postal items,邮政物件
11.2,plant seeds,植物种子
11.2,live music,现场音乐
11.2,meeting point,碰头地点
11.2,craft fair,手工艺品集市
11.2,fringe stage,额外展台
11.2,exhibitor entrance,展览者入口
11.2,arm badge,袖标，手环
11.2,academic record,学术记录
11.2,class representative,班级代表
11.2,local artists,当地艺术家
11.2,river taxi,摆渡船
11.2,traffic jam,堵车
11.2,traffic lights,交通灯
11.2,calling fee,电话费
11.2,computer breakdown,电脑死机
11.2,express trains,高速列车
11.2,high winds,疾风
11.2,self-cafeteria,自助餐厅
11.2,local hero,当地的英雄
11.2,European painting,欧洲画作
11.2,learning zone,学习区
11.2,historical photograph,历史摄影
11.2,cinema zone,电影区
11.2,coffee shop,咖啡店
11.2,garden tools,园艺工具
11.2,garden pots,洒水壶，花园罐子
11.2,tap water,自来水
11.2,professional knowledge,专业知识
11.2,special buses,特殊巴士
11.2,education facilities,教育设施
11.2,order form,预订表格
11.2,check number,核对数目
11.2,signed delivery note,签署过的交货通知
11.2,unappealing appearance,无吸引力的外表
11.2,black swans,黑天鹅
11.2,historical exhibition,历史展览
11.2,hot meal,热食
11.2,head office,总部
11.2,music room,音乐室
11.2,classroom tour,参观教室
11.2,tea and coffee,茶和咖啡
11.2,chess club,象棋俱乐部
11.2,monthly magazines,月刊
11.2,animal life,动物生活
11.2,social event,社交活动
11.2,annual report,年度报告
11.2,spare socks,备用袜子
11.2,total block,防晒霜
11.2,local museum,当地博物馆
11.2,secondary project,次要项目
11.2,late afternoon,傍晚
11.2,back entrance,后门
11.2,storage space,储物空间
11.2,emergency button,紧急按钮
11.2,hot spring,温泉
11.2,disabled people,残疾人
11.2,specific period,特定时期
11.2,minimum period,最小周期
11.2,health check,健康检查
11.2,sports equipment,体育装备
11.2,town hall,市政大厅
11.2,baby kangaroo,小袋鼠
11.2,part-time job,业余工作
11.2,business courses,商科课程
11.2,senior staff,高级员工
11.2,English channel,英吉利海峡
11.2,tropical zone,热带地区
11.2,tower view,高塔视野
11.2,elephant zone,大象区域
11.2,travel centre,旅游信息中心
11.2,travel package,旅行行李
11.2,budget trip,预订旅行
11.2,long vacation,长假期
11.2,supportive atmosphere,声援气氛
11.2,store room,储藏室
11.2,coffee machine,咖啡机
11.2,front desk,前台
11.2,seating area,休息区
11.2,local residents,当地居民
11.2,board games,桌游
11.2,massage room,按摩室
11.2,equal length,同样长度
11.2,training course,训练课程
11.2,tutorial fee,辅导费用
11.2,administration officer,管理员
11.2,security officer,安保人员
11.2,fire drill,火灾演练
11.2,card making,卡片制作
11.2,interior design,内部设计
11.2,water colour painting,水彩画
11.2,venue change,地点转移
