chapter,word,translation
11.4,code,密码
11.4,maximum,最大的
11.4,coconut,椰子
11.4,mould,模具
11.4,machinery,机械化的
11.4,elastic,有弹性的
11.4,vertical,垂直的
11.4,accountable,有责任的
11.4,decisions,决定
11.4,seasonal,季节的
11.4,herds,群
11.4,clay,黏土
11.4,eco-cement,生态水泥
11.4,nuts,坚果
11.4,arrows,箭头
11.4,spears,矛
11.4,concentrated,注意的
11.4,shipping,运输
11.4,segments,部分
11.4,germs,细菌
11.4,corn,玉米
11.4,insects,昆虫
11.4,coastline,海岸线
11.4,critical,批判的，核心的
11.4,cognition,认识
11.4,emotion,感情
11.4,intelligence,情报，智力
11.4,connected,连接的
11.4,self-centred,自我的
11.4,passive,消极的，被动的
11.4,stimulation,刺激，鼓励
11.4,lid,盖子
11.4,gravity,重力
11.4,stems,茎
11.4,obstacles,困难
11.4,mechanism,进程，机械装置
11.4,seminar,研讨会
11.4,drought,干旱
11.4,erosion,腐蚀
11.4,digestion,消化
11.4,furniture,家具
11.4,retail,零售
11.4,maturity,成熟
11.4,postal,邮政的
11.4,self-evaluation,自我评估
11.4,random,随机的
11.4,cost-effective,性价比高的
11.4,navigate,航行
11.4,genetic,基因的
11.4,density,密度
11.4,triangle,三角
11.4,cliffs,悬崖
11.4,comprehension,理解
11.4,format,格式
11.4,irrigation,灌溉
11.4,contaminants,污染物
11.4,soldiers,士兵
11.4,concrete,混凝土
11.4,lifespan,寿命
11.4,therapy,疗法，理疗
11.4,temperature,温度
11.4,fluids,液体
11.4,kidney,肾
11.4,sustainable,可忍受的
11.4,portable,便携的
11.4,excitement,激动
11.4,mammal,哺乳动物
11.4,breathe,呼吸
11.4,pollutants,污染物
11.4,guidelines,方针政策
11.4,mapping,制图
11.4,calculator,计算器
11.4,perfumes,香水
11.4,exploration,探索
11.4,toothache,牙痛
11.4,pirates,海盗
11.4,powder,粉
11.4,cosmetics,化妆品
11.4,carpets,地毯
11.4,tunnel,隧道
11.4,packaging,打包
11.4,worms,虫子
11.4,odor,气味
11.4,butterflies,蝴蝶
11.4,bacteria,细菌
11.4,protein,蛋白质
11.4,migration,迁徙
11.4,morality,道德
11.4,situational,环境造成的
11.4,aspirations,渴望
11.4,amber,琥珀
11.4,tolerance,容忍
11.4,contribution,贡献
11.4,humidity,潮湿度
11.4,barrier,阻碍
11.4,tuna,金枪鱼
11.4,gill,鳃
11.4,cables,电缆
11.4,oyster,生蚝
11.4,guessing,推测
11.4,relaxation,放松
11.4,concentration,注意力
11.4,literacy,读写能力
11.4,predators,捕食者
11.4,molt,脱毛
11.4,diversity,多样性
11.4,cement,水泥
11.4,cognitive,认知的
11.4,peers,同龄人
11.4,rational,理性的
11.4,willing,意愿的
11.4,instinct,天性，本能
11.4,reward,报酬
11.4,boiler,水壶
11.4,monument,纪念堂
