chapter,word,translation
4.3,popular,流行的；受欢迎的
4.3,positive,积极的；正面的
4.3,possible,可能的
4.3,potential,潜在的
4.3,practical,实际的；实用的
4.3,precious,珍贵的
4.3,predictable,可预测的
4.3,present,目前的；在场的
4.3,previous,以前的；先前的
4.3,printed,印刷的
4.3,private,私人的
4.3,professional,专业的
4.3,promising,有前途的
4.3,psychiatric,精神病学的
4.3,psychological,心理的
4.3,public,公共的
4.3,pure,纯粹的；纯净的
4.3,Queen's,女王的
4.3,random,随机的
4.3,rapid,快速的
4.3,rare,稀有的；罕见的
4.3,raw,原始的；未加工的
4.3,recycled,回收的
4.3,redundant,多余的；冗余的
4.3,regional,地区的；区域的
4.3,regular,定期的；规律的
4.3,reinforced,加固的；强化的
4.3,related,相关的
4.3,relevant,相关的；切题的
4.3,reliable,可靠的
4.3,remote,偏远的；遥远的
4.3,resistant,有抵抗力的
4.3,reverse,相反的；逆向的
4.3,rising,上升的；增长的
4.3,royal,皇家的
4.3,rural,农村的；乡村的
4.3,sacked,被解雇的
4.3,safe,安全的
4.3,satisfactory,令人满意的
4.3,scarce,稀缺的；不足的
4.3,scientific,科学的
4.3,seasonal,季节性的
4.3,seasoned,经验丰富的；老练的
4.3,secondary,次要的；中等的
4.3,second-hand,二手的
4.3,self-funded,自筹资金的
4.3,self-sufficient,自给自足的
4.3,senior,高级的；年长的
4.3,sensible,明智的；合理的
4.3,serial,连续的；系列的
4.3,serious,严重的；严肃的
4.3,seven-screen,七屏的
4.3,several,几个；若干
4.3,shared,共享的
4.3,sharp,锋利的；敏锐的
4.3,short,短的；矮的
4.3,sick,生病的
4.3,silent,安静的；沉默的
4.3,silver,银色的
4.3,similar,相似的
4.3,simple,简单的
4.3,sleepy,困倦的
4.3,slim,苗条的；纤细的
4.3,smart,聪明的；智能的
4.3,smelly,有臭味的
4.3,social,社会的；社交的
4.3,solar,太阳的；太阳能的
4.3,soundproof,隔音的
4.3,southern,南方的
4.3,spacious,宽敞的
4.3,spare,备用的；空闲的
4.3,special,特别的；专门的
4.3,specialized,专业化的
4.3,specific,具体的；特定的
4.3,spiral,螺旋的
4.3,stable,稳定的
4.3,steady,稳定的；平稳的
4.3,stout,粗壮的；肥胖的
4.3,strained,紧张的；费力的
4.3,stressful,有压力的
4.3,strong,强壮的；强烈的
4.3,subjective,主观的
4.3,successful,成功的
4.3,sufficient,足够的；充分的
4.3,suitable,合适的
4.3,super,超级的
4.3,surprised,惊讶的
4.3,systematic,系统的；有条理的
4.3,technical,技术的
4.3,theoretical,理论的
4.3,traditional,传统的
4.3,troublesome,麻烦的；令人烦恼的
4.3,typical,典型的
4.3,unanimous,一致的；全体同意的
4.3,uncomfortable,不舒适的
4.3,unconvincing,不令人信服的
4.3,underground,地下的
4.3,unfair,不公平的
4.3,unhealthy,不健康的
4.3,unique,独特的；唯一的
4.3,united,联合的；统一的
4.3,unreliable,不可靠的
4.3,unsocial,不合群的
4.3,unusual,不寻常的
4.3,useful,有用的
4.3,useless,无用的
4.3,usual,通常的；惯常的
4.3,various,各种各样的
4.3,violent,暴力的；猛烈的
4.3,virtual,虚拟的
4.3,visible,可见的
4.3,visual,视觉的
4.3,warm,温暖的
4.3,washable,可洗的
4.3,wealthy,富裕的
4.3,weekly,每周的
4.3,western,西方的
4.3,whole,整体的；全部的
4.3,wide,宽的；广泛的
4.3,wise,明智的；聪明的
4.3,worthwhile,值得的
4.3,worthy,值得尊敬的；有价值的
4.3,almost,几乎
4.3,currently,目前；当前
4.3,directly,直接地
4.3,effectively,有效地
4.3,efficiently,高效地
4.3,originally,最初；原来
4.3,physically,身体上；物理上
4.3,professionally,专业地
4.3,rapidly,迅速地
4.3,regularly,定期地；规律地
4.3,scarcely,几乎不；勉强
4.3,virtually,实际上；几乎
